image_id,Child,Smile,Emotions,Female,Male,PeopleNumber
2809833202563836.jpg,FALSE,TRUE,[],FALSE,TRUE,1
283787086671868.jpg,FALSE,TRUE,[],FALSE,TRUE,1
2841354372631922.jpg,TRUE,TRUE,"['FEAR', 'ANGRY', 'CALM', 'SAD']",TRUE,TRUE,2
2866644310290605.jpg,FALSE,TRUE,['FEAR'],TRUE,FALSE,2
2872601036361599.jpg,FALSE,TRUE,['SAD'],FALSE,TRUE,2
287304456354676.png,FALSE,FALSE,[],FALSE,FALSE,0
2874541359500900.jpg,TRUE,TRUE,[],TRUE,FALSE,1
2909318586023177.jpg,TRUE,TRUE,"['FEAR', 'HAPPY', 'CALM']",TRUE,FALSE,2
2956095584678810.jpg,FALSE,TRUE,[],FALSE,TRUE,1
296822182035025.png,FALSE,FALSE,[],FALSE,FALSE,0
3065716930131628.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,1
3065729163463738.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,2
