image_id,Contrast
10158742951057556.jpg,HIGH
10158744111586970.jpg,HIGH
10158744264691597.jpg,HIGH
10158744661648798.jpg,HIGH
10158744853418798.jpg,HIGH
10158744997872556.jpg,HIGH
10158746200524002.jpg,HIGH
10158746553529002.jpg,HIGH
10158746600541597.jpg,HIGH
10158747358682556.jpg,HIGH
10158747534594002.jpg,HIGH
10158747544663798.jpg,HIGH
10158749054854002.jpg,HIGH
10158750114179002.png,LOW
10158750600278798.jpg,HIGH
10158750984906597.jpg,HIGH
10158751443618798.jpg,HIGH
10158751542629002.png,LOW
10158751752906597.jpg,HIGH
10158752555804002.png,HIGH
10158752801071970.jpg,HIGH
10158753040556565.jpg,HIGH
10158753106809002.jpg,HIGH
10158753652477556.jpg,HIGH
10158753864541597.png,HIGH
10158753994533798.jpg,HIGH
10158754340776597.jpg,HIGH
10158754741454002.jpg,HIGH
10158755521519002.jpg,HIGH
10158755784412556.jpg,HIGH
10158755826669002.png,HIGH
10158756096919002.jpg,HIGH
10158756414986597.jpg,HIGH
10158756529958798.jpg,HIGH
10158756622846970.jpg,HIGH
10158757122624002.jpg,HIGH
10158757184421597.jpg,HIGH
10158757809894002.png,LOW
10158758285967556.jpg,HIGH
10158758356834002.jpg,HIGH
10158758984227556.jpg,HIGH
10158759463194002.png,HIGH
10158760177552556.jpg,LOW
10158760821992556.jpg,LOW
10158761159173798.jpg,HIGH
10158761426324002.jpg,HIGH
10158761827256597.jpg,HIGH
10158761921204002.jpg,HIGH
10158762462557556.jpg,HIGH
10158762611914002.jpg,HIGH
10158762893159002.jpg,HIGH
10158763124454002.png,HIGH
10158763172917556.jpg,HIGH
10158763968366597.png,HIGH
10158764418441597.jpg,HIGH
10158764663861970.jpg,HIGH
10158764725573798.jpg,HIGH
10158765339867556.jpg,HIGH
10158765585538798.jpg,HIGH
10158766591647556.jpg,LOW
10158766834921597.jpg,HIGH
10158766899536970.jpg,HIGH
10158767060494002.jpg,LOW
10158767200462556.jpg,HIGH
10158767582833798.jpg,HIGH
10158767999827556.jpg,HIGH
10158769084687556.jpg,LOW
10158769381061597.jpg,LOW
10158769558564002.jpg,HIGH
10158770754629002.png,HIGH
10158771575977556.jpg,HIGH
10158772073208798.jpg,HIGH
10158773182466970.jpg,HIGH
10158773386339002.jpg,HIGH
10158773439884002.jpg,HIGH
10158773452479002.jpg,HIGH
10158773491284002.jpg,HIGH
